Campaign,Project,Item,ItemId,Asset,AssetId,AssetStatus,DownloadUrl,Transcription,Tags
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-1,218816,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:001/full/pct:25/0/default.jpg,"Miscellaneous Manuscripts Collection
Gibson, S.J., 1867-1944
Library of Congress bar code
0 009 058 679 8",
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-2,218817,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:002/full/pct:100/0/default.jpg,"ON
(C          he
Union
1864
Ac.D.R.
D1785A",
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-3,218818,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:003/full/pct:100/0/default.jpg,"S. J. GIBSON
Diary
(Corporal in the 
Union Army)
1864
Ac. D. R.
D1785A",
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-4,218819,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:004/full/pct:50/0/default.jpg,"Dedication

Little Book; may you gather,
Notes of chance events, and Weather;
And when the year has rolled its round,
May no blank leaves in thee be found.
S.J. Gibson
Co. B 103rd P.V.
Plymouth, N.C.
To his Wife
Mrs Rachel A. Gibson
Sherrett P.O.
Armstrong County
Penn",Armstrong County; Plymouth NC; SJ Gibson; Mrs Rachel A Gibson; Dedication; Samuel J Gibson
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-5,218820,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:005/full/pct:50/0/default.jpg,"DAILY
POCKET DIARY
FOR THE YEAR
1864:
FOR THE PURPOSE OF
Registering Events of Past, Present or
Future Occurrence.
CALCULATED FOR ONE YEAR.
New-York
PUBLISHED ANNUALLY BY
KIGGINS & KELLOGG,
Publishers, Booksellers, Stationers,
AND BLANK BOOK MANUFACTURERS,
123 & 125 WILLIAM STREET,
Between John and Fulton.
1864.",New York; 1864; KIGGINS and KELLOGG
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-6,218821,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:006/full/pct:50/0/default.jpg,"Contents.

Almanac, Counting House Calendar, Banking, Table, a Blank Space for Memorandum for every day in the year, Cash Account for each Month, Annual Summary of Cash Account, Bills Payable and Receivable.
(columned page)
January, 1864.
Moon's Phases.
Last Quarter 2d. 2h.43m. M.
New Moon   9d.2h. 49m. M.
First Quarter  15d. 6h. 10m. E.
Full Moon      25d. 5h. 6m. E.
Last Quarter   31d. 7h. 21.m E.
Day of the month, Day of the week, Sun Rises h. m. Moon Rises, h. m.
1 Friday 7 25  4 43  morn
2 Saturday 7 25 4 44 0 10
3 C             7 25 4 45 1 11
4 Monday 7 25 4 47 2 16
5 Tuesday 7 25 4 46 3 21
6 Wednesday 7 25 4 47 4 27
7 Thursday 7 25 4 48 5 29
8 Friday      7 25 4 49 sets
9 Saturday 7 25 4 50 5 45
10 C             7 24 4 51 6 51
11 Monday  7 24  4 52  8 15
12 Tuesday  7 24  4 53 9 27
13 Wednesday 7 23  4 54 10 37
14 Thursday     7 23  4 55  11 45
15 Friday          7 22 4 57 morn
16 Saturday     7 22 4 58 0 49
17   C               7 21  4 59 1 53
18 Monday      7 20  5  1  2 53
19 Tuesday      7 20 5  2 3 49
20 Wednesday 7 19 5  3 4 41
21 Thursday     7 18  5  4 5 28
22 Friday          7 18  5  4 5 28
23 Saturday     7 17  5  5  rises
24   C               7 16  5  7 6 13
25 Monday      7 16  5  8 7  9
26 Tuesday     7 15  5  9 8  5
27  Wednesday  7 14  5 11 9  3
28 Thursday       715  5 12  10  1
29 Friday            7 13  5 13 10 59
30 Saturday        7 12  5 15  12  0
31 C                     7 11 5 16 morn.

February , 1864.
Moon's Phases.
New Moon 7d. 1h. 14m. E.
First Quarter 14d. 8h. 28m. M.
Full Moon     22d.  0h. 5. E.
Day of Month Days of the Week. Sun Rises. h.m. Sun Sets.  h.m. Moon Rises h.m.
1 Monday      7 10 5 18 1  4
2 Tuesday       7  9 5 19 2  6
3 Wednesday  7  8 5 20 3  0
4 Thursday      7  7 5 21 3 59
5 Friday           7 6 5 22 5  3
6 Saturday       7  5 5 24 5 51
7 C                   7  4 5 25 sets
8 Monday        7 3 5 26 7  2
9 Tuesday        7  2 5 28 8 15
20 Wednesday  7  0 5 29 9 26
21 Thursday      6 59 5 32 10 34
22 Friday           6 58 5 32 11 41
13 Saturday       6 56 5 33 morn.
14   C                 6 55 5 34 0 44
15 Monday        6 54 5 35 1 43
16 Tuesday        6 53 5 36 2 37
17 Wednesday   6 51 5 37 3 26
18 Thursday       6 50  5 38 4  9
19 Friday            6 49 5 39 4 47
20 Saturday        6 47 5 41 5 21
21   C                  6 46 5 42 5 53
22 Monday         6 44 5 43 rises.
23 Tuesday          6 43 5 45 6 57
24 Wednesday     6 41 5 46 7 55
25 Thursday         6 39 5 47 8 53
26 Friday              6 38 5 48 9 53
27 Saturday         6 37 5 49 10 54
28      C                6 36 5 49 11 57
29 Monday          6 35 5 50 morn.

  ",
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-7,218822,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:007/full/pct:50/0/default.jpg,,
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-8,218823,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:008/full/pct:50/0/default.jpg,"July, 1864
Moon's Phases.
New Moon 3d 7h. 23m. E.
First Quar. 11d. 10d. 55m. E
Full Moon 19d. 1h. 40 m. M.
Last Quar. 25d. 3h. 50m. E.
D. of M. Days of Week. Sun Rises h.m. Sun Sets h. m. Moon Rises h. m. 
1 Frid. 4 31 7 35 2 39
2 Sat. 4 32 7 35 3 30
3 B 4 32 7 35  sets
4 Mon. 4 33 7 34 7 48
5 Tues. 4 33 7 34 8 24
6 Wed. 4 34 7 34 8 56
7 Thur. 4 34 7 34 9 25
8 Frid. 4 35 7 33 9 53
9 Sat. 4 36 7 33 10 21
10 B 4 37 7 33 10 49
11 Mon. 4 38 7 32 11 18
12 Tues. 4 39 7 32 11 51
13 Wed. 4 39 7 31 morn.
14 Thur. 4 40 7 31 0 26
15 Frid. 4 41 7 30 1 10
16 Sat. 4 42 7 29 2 1
17 B 4 43 7 29 2 59
18 Mon. 4 43 7 28 rises.
19 Tues. 4 44 7 28 7 31
20 Wed. 4 45 7 27 8 10
21 Thur. 4 46 7 26 8 47
22 Frid. 4 47 7 25 9 23
23 Sat. 4 48 7 25 9 59
24 B 4 49 7 23 10 33
25 Mon. 4 49 7 22 11 11
26 Tues. 4 50 7 22 11 52
27 Wed. 4 51 7 21 morn.
28 Thur. 4 52 7 20 0 38
29 Frid. 4 53 7 19 1 27
30 Sat. 4 54 7 18 2 20
31 B 455 7 17 3 13

August, 1864.
Moon's Phases
New Moon 2d. 9h. 37m. M.
First Quar. 10d. 1h. 1m. E.
Full Moon 17d. 8h. 40m. M.
Last Quar. 24d. 1h. 8m. M.

D of M. Days of the week Sun Rises h. m. Sun sets h.m. Moon Rises h.m.
1 Mon. 4 56 7 16 4 10
2 Tues. 4 57 7 15 sets
3 Wed. 4 58 7 14 7 28
4 Thur. 4 59 7 13 7 56
5 Frid. 5 0 7 12 8 24
6 Sat. 5 1 7 11 8 53
7 B 5 2 7 10 9 21
8 Mon. 5 3 7 9 9 51
9 Tues. 5 4 7 8 10 25
10 Wed. 5 5 7 6 11 4
11 Thur. 5 6 7 5 11 51
12 Frid. 5 7 7 0 morn
13 Sat. 5 8 7 2 0 44
14 B 5 9 7 0 7 1 44
15 Mon. 5 10 6 59 2 52
16 Tues. 5 11 6 58 4 5
17 Wed. 5 12 6 57 rises.
18 Thur. 5 13 6 55 7 19
19 Frid. 5 14 6 54 7 56
20 Sat. 5 15 6 53 8 33
21 B 5 16 6 51 9 11
22 Mon. 5 17 6 50 9 53
23 Tues. 5 18 6 49 10 37
24 Wed. 5 19 6 47 11 24
25 Thur. 5 20 6 45 morn.
26 Frid. 5 21 6 43 0 15
27 Sat. 5 22 6 41 1 9
28 B 5 23 6 40 2 5
29 Mon. 5 24 6 38 3 1
30 Tues. 5 25 6 36 3 57
31 Wed. 5 26 6 34 4 52

",
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-9,218824,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:009/full/pct:50/0/default.jpg,,
"""This Hell-upon-earth of a Prison"": Samuel J. Gibson's Andersonville Diary",Diary and a letter,"Samuel J. Gibson diary and correspondence, 1864., Diary, 1864",mss52410001,mss52410001-10,218825,completed,http://tile.loc.gov/image-services/iiif/service:mss:mss5241:01:010/full/pct:50/0/default.jpg,"January, Friday, 1. 1864.
Plymouth N.C. This morning succeeds 
a very stormy night, I lay expecting
every moment, my frail canvass tenement
would be knocked about my ears; the day
passes off with hilarity & various amusements, 
common for Holidays. The saddest 
affair is the murder of Miss Emma Blout, her
body was found this morning near this place.
SATURDAY, 2.
Plymouth, N. C. This morning the
coldest, of the season. to day I am
detailed for guard Corps. of 1st relief. the
day passes off quietly; recruiting for 
the Volunteer Vetern corps is going
on lively. I believe 1/2 of the 103rd P. V.
will again reenlist for 3 yrs more
Write a letter to my. wife.
SUNDAY, 3.
Plymouth N.C. This morning cold
but pleasant. Still on Guard Corpl.
1st relief, Countersign last night ""Sugar
Run"" relieved at 9 A.M. attend preaching. 
Reenlisting in the Volunteer Vetern
Corps. still goes on. I am ""on the Fence'
& hardly know which way to fall. I am
tired of War, but our cause is still good
& I hardly feel like giving up the contest.
Still I have a duty to perform at home.",Emma Blout; 103rd Pennsylvania Volunteers
